releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesCloseToZero,processingHighVariance,10,False,False,1978.0,1978,0.1898,0.0017
releasesCloseToZero,processingHighVariance,11,False,False,3224.0,3224,0.034,0.0017
releasesCloseToZero,processingHighVariance,12,False,False,3462.0,3462,0.1022,0.002
releasesCloseToZero,processingHighVariance,12,False,False,3276.0,3276,0.0283,0.0035
releasesCloseToZero,processingHighVariance,14,False,False,4749.0,4749,0.0278,0.0031
releasesCloseToZero,processingHighVariance,14,False,False,5187.0,5187,0.5252,0.0033
releasesCloseToZero,processingHighVariance,15,False,False,5701.0,5701,0.1441,0.0027
releasesCloseToZero,processingHighVariance,17,False,False,8880.0,8880,0.0209,0.0052
releasesCloseToZero,processingHighVariance,17,False,False,5950.0,5950,0.0741,0.0072
releasesCloseToZero,processingHighVariance,19,False,False,9642.0,9642,0.0348,0.0049
releasesCloseToZero,processingHighVariance,2,False,False,188.0,188,0.0006,0.0005
releasesCloseToZero,processingHighVariance,20,False,False,10992.0,10992,16.5848,0.0096
releasesCloseToZero,processingHighVariance,21,False,False,9882.0,9882,0.1697,0.0058
releasesCloseToZero,processingHighVariance,22,False,False,12924.0,12924,0.0913,0.0069
releasesCloseToZero,processingHighVariance,22,False,False,10760.0,10760,0.0432,0.0111
releasesCloseToZero,processingHighVariance,24,True,False,16652.0,16652,60.0,0.0153
releasesCloseToZero,processingHighVariance,23,False,False,10184.0,10184,59.9963,0.0109
releasesCloseToZero,processingHighVariance,26,True,False,17290.0,17290,60.0,0.011
releasesCloseToZero,processingHighVariance,25,False,False,16470.0,16470,0.1829,0.0144
releasesCloseToZero,processingHighVariance,27,False,False,19773.0,19773,0.1598,0.0135
releasesCloseToZero,processingHighVariance,27,True,False,19539.0,19539,60.0,0.0113
releasesCloseToZero,processingHighVariance,3,False,False,366.0,366,0.0023,0.0007
releasesCloseToZero,processingHighVariance,28,False,False,16380.0,16380,0.1385,0.0216
releasesCloseToZero,processingHighVariance,4,False,False,511.0,511,0.0032,0.0008
releasesCloseToZero,processingHighVariance,5,False,False,989.0,989,0.0075,0.001
releasesCloseToZero,processingHighVariance,6,False,False,1123.0,1123,0.0183,0.0021
releasesCloseToZero,processingHighVariance,7,False,False,1222.0,1222,0.0135,0.0016
releasesCloseToZero,processingHighVariance,8,False,False,1690.0,1690,0.0104,0.002
releasesCloseToZero,processingHighVariance,8,False,False,1431.0,1431,0.0382,0.0016
releasesCloseToZero,processingLowVariance,10,False,False,2701.0,2701,0.0151,0.0016
releasesCloseToZero,processingLowVariance,11,False,False,3287.0,3287,0.0439,0.0019
releasesCloseToZero,processingLowVariance,12,False,False,3864.0,3864,0.9579,0.0024
releasesCloseToZero,processingLowVariance,13,False,False,4453.0,4453,0.0301,0.0025
releasesCloseToZero,processingLowVariance,14,True,False,5145.0,5145,60.0,0.0031
releasesCloseToZero,processingLowVariance,15,False,False,5876.0,5876,5.122,0.0066
releasesCloseToZero,processingLowVariance,16,False,False,6644.0,6644,1.0208,0.0059
releasesCloseToZero,processingLowVariance,17,False,False,7445.0,7445,2.8504,0.0071
releasesCloseToZero,processingLowVariance,18,False,False,8476.0,8476,1.3836,0.0054
releasesCloseToZero,processingLowVariance,19,False,False,9349.0,9349,0.0384,0.005
releasesCloseToZero,processingLowVariance,2,False,False,155.0,155,0.0007,0.0004
releasesCloseToZero,processingLowVariance,20,False,False,10242.0,10242,1.2403,0.0064
releasesCloseToZero,processingLowVariance,21,False,False,11290.0,11290,2.6366,0.0092
releasesCloseToZero,processingLowVariance,22,False,False,12392.0,12392,1.2322,0.0063
releasesCloseToZero,processingLowVariance,23,False,False,13484.0,13484,0.1311,0.0072
releasesCloseToZero,processingLowVariance,24,False,False,14725.0,14725,1.2397,0.0087
releasesCloseToZero,processingLowVariance,25,False,False,15956.0,15956,0.1385,0.0085
releasesCloseToZero,processingLowVariance,26,False,False,17199.0,17199,0.1461,0.0087
releasesCloseToZero,processingLowVariance,27,False,False,18300.0,18300,39.9264,0.0172
releasesCloseToZero,processingLowVariance,28,False,False,19870.0,19870,0.1699,0.0105
releasesCloseToZero,processingLowVariance,29,False,False,21166.0,21166,0.1614,0.0117
releasesCloseToZero,processingLowVariance,3,False,False,296.0,296,0.0017,0.0008
releasesCloseToZero,processingLowVariance,30,False,False,22860.0,22860,0.0915,0.0122
releasesCloseToZero,processingLowVariance,4,False,False,501.0,501,0.0016,0.0012
releasesCloseToZero,processingLowVariance,5,False,False,748.0,748,0.0077,0.0009
releasesCloseToZero,processingLowVariance,6,False,False,1060.0,1060,0.0392,0.001
releasesCloseToZero,processingLowVariance,7,False,False,1377.0,1377,0.0495,0.0011
releasesCloseToZero,processingLowVariance,8,False,False,1793.0,1793,0.0068,0.0012
releasesCloseToZero,processingLowVariance,9,False,False,2241.0,2241,0.0164,0.0014
releasesCloseToZero,processingUniform,10,False,False,2245.0,2245,0.0253,0.0016
releasesCloseToZero,processingUniform,11,False,False,1581.0,1581,0.0208,0.0017
releasesCloseToZero,processingUniform,12,False,False,2415.0,2415,0.1793,0.0018
releasesCloseToZero,processingUniform,12,False,False,2854.0,2854,0.1185,0.0019
releasesCloseToZero,processingUniform,14,False,False,4633.0,4633,0.0351,0.0032
releasesCloseToZero,processingUniform,15,False,False,4680.0,4680,0.1109,0.0027
releasesCloseToZero,processingUniform,16,False,False,4219.0,4219,0.4471,0.0033
releasesCloseToZero,processingUniform,17,False,False,4536.0,4536,1.899,0.0087
releasesCloseToZero,processingUniform,18,False,False,5346.0,5346,1.0422,0.0041
releasesCloseToZero,processingUniform,19,False,False,6186.0,6186,33.4406,0.0062
releasesCloseToZero,processingUniform,2,False,False,101.0,101,0.0012,0.0004
releasesCloseToZero,processingUniform,20,False,False,5848.0,5848,0.1584,0.0164
releasesCloseToZero,processingUniform,21,False,False,8956.0,8956,0.0739,0.0113
