releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesCloseToZero,processingHighVariance,9,False,False,870.0,870,0.0282,0.0021
releasesCloseToZero,processingHighVariance,9,False,False,970.0,970,0.0225,0.0012
releasesCloseToZero,processingHighVariance,9,False,False,1509.0,1509,0.0077,0.0013
releasesCloseToZero,processingHighVariance,9,False,False,2056.0,2056,0.023,0.0019
releasesCloseToZero,processingHighVariance,14,False,False,4274.0,4274,0.0214,0.0024
releasesCloseToZero,processingHighVariance,14,False,False,2769.0,2769,0.0361,0.0024
releasesCloseToZero,processingHighVariance,15,False,False,2529.0,2529,0.0244,0.0036
releasesCloseToZero,processingHighVariance,12,False,False,2412.0,2412,0.0795,0.0019
releasesCloseToZero,processingHighVariance,12,False,False,1586.0,1586,0.0074,0.0038
releasesCloseToZero,processingHighVariance,18,False,False,5650.0,5650,0.0234,0.0066
releasesCloseToZero,processingHighVariance,2,False,False,102.0,102,0.0006,0.0006
releasesCloseToZero,processingHighVariance,15,False,False,3776.0,3776,0.0315,0.0038
releasesCloseToZero,processingHighVariance,3,False,False,276.0,276,0.0014,0.0006
releasesCloseToZero,processingHighVariance,3,False,False,343.0,343,0.0012,0.0007
releasesCloseToZero,processingHighVariance,4,False,False,296.0,296,0.0017,0.0006
releasesCloseToZero,processingHighVariance,6,False,False,722.0,722,0.0049,0.0008
releasesCloseToZero,processingHighVariance,5,False,False,431.0,431,0.0053,0.0007
releasesCloseToZero,processingHighVariance,8,False,False,1200.0,1200,0.0063,0.0015
releasesCloseToZero,processingHighVariance,9,False,False,1142.0,1142,0.0816,0.0013
releasesCloseToZero,processingLowVariance,10,False,False,1295.0,1295,0.147,0.0014
releasesCloseToZero,processingLowVariance,11,False,False,1623.0,1623,0.4901,0.0016
releasesCloseToZero,processingLowVariance,12,False,False,1868.0,1868,1.8198,0.0028
releasesCloseToZero,processingLowVariance,13,False,False,2196.0,2196,1.5191,0.0022
releasesCloseToZero,processingLowVariance,14,False,False,2583.0,2583,17.2023,0.0028
releasesCloseToZero,processingLowVariance,15,False,False,2908.0,2908,0.0381,0.0031
releasesCloseToZero,processingLowVariance,16,False,False,3255.0,3255,0.0264,0.0034
releasesCloseToZero,processingLowVariance,17,False,False,3659.0,3659,0.223,0.0037
releasesCloseToZero,processingLowVariance,18,False,False,4122.0,4122,0.126,0.004
releasesCloseToZero,processingLowVariance,19,False,False,4566.0,4566,0.1193,0.0042
releasesCloseToZero,processingLowVariance,2,False,False,75.0,75,0.0014,0.0005
releasesCloseToZero,processingLowVariance,20,False,False,5028.0,5028,0.04,0.0049
releasesCloseToZero,processingLowVariance,3,False,False,144.0,144,0.0013,0.0005
releasesCloseToZero,processingLowVariance,4,False,False,241.0,241,0.0017,0.001
releasesCloseToZero,processingLowVariance,5,False,False,369.0,369,0.0229,0.0007
releasesCloseToZero,processingLowVariance,6,False,False,513.0,513,0.0318,0.0009
releasesCloseToZero,processingLowVariance,7,False,False,685.0,685,0.0056,0.0011
releasesCloseToZero,processingLowVariance,8,False,False,874.0,874,0.0772,0.0015
releasesCloseToZero,processingLowVariance,9,False,False,1096.0,1096,0.4763,0.0013
releasesCloseToZero,processingUniform,10,False,False,1160.0,1160,0.0072,0.0015
releasesCloseToZero,processingUniform,10,False,False,1235.0,1235,0.0186,0.0015
releasesCloseToZero,processingUniform,12,False,False,965.0,965,0.0272,0.002
releasesCloseToZero,processingUniform,13,False,False,2165.0,2165,0.2159,0.0022
releasesCloseToZero,processingUniform,14,False,False,2025.0,2025,0.063,0.0024
releasesCloseToZero,processingUniform,15,False,False,2889.0,2889,0.02,0.0032
releasesCloseToZero,processingUniform,15,False,False,1965.0,1965,0.0218,0.007
releasesCloseToZero,processingUniform,17,False,False,3319.0,3319,0.0371,0.0035
releasesCloseToZero,processingUniform,17,False,False,3084.0,3084,0.0211,0.0034
releasesCloseToZero,processingUniform,18,False,False,2771.0,2771,0.3395,0.0042
