releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesCloseToZero,processingHighVariance,10,False,False,1978.0,1978,0.0612,0.0016
releasesCloseToZero,processingHighVariance,11,False,False,3224.0,3224,0.0317,0.0017
releasesCloseToZero,processingHighVariance,12,False,False,3462.0,3462,0.1025,0.0031
releasesCloseToZero,processingHighVariance,12,False,False,3276.0,3276,0.0297,0.003
releasesCloseToZero,processingHighVariance,14,False,False,4749.0,4749,0.0204,0.0025
releasesCloseToZero,processingHighVariance,14,False,False,5187.0,5187,0.531,0.0023
releasesCloseToZero,processingHighVariance,15,False,False,5701.0,5701,0.1507,0.0028
releasesCloseToZero,processingHighVariance,17,False,False,8880.0,8880,0.0221,0.0037
releasesCloseToZero,processingHighVariance,17,False,False,5950.0,5950,0.0796,0.0062
releasesCloseToZero,processingHighVariance,19,False,False,9642.0,9642,0.0359,0.0041
releasesCloseToZero,processingHighVariance,2,False,False,188.0,188,0.0006,0.0004
releasesCloseToZero,processingHighVariance,20,True,False,10992.0,10992,5.0,0.006
releasesCloseToZero,processingHighVariance,21,False,False,9882.0,9882,0.1486,0.0052
releasesCloseToZero,processingHighVariance,22,False,False,12924.0,12924,0.0827,0.0061
releasesCloseToZero,processingHighVariance,22,False,False,10760.0,10760,0.042,0.0104
releasesCloseToZero,processingHighVariance,24,True,False,16652.0,16652,5.0,0.007
releasesCloseToZero,processingHighVariance,23,True,False,10185.0,10184,5.0,0.0076
releasesCloseToZero,processingHighVariance,26,True,False,17290.0,17290,5.0,0.0098
releasesCloseToZero,processingHighVariance,25,False,False,16470.0,16470,0.1066,0.0093
releasesCloseToZero,processingHighVariance,27,False,False,19773.0,19773,0.112,0.0098
releasesCloseToZero,processingHighVariance,27,True,False,19539.0,19539,5.0,0.0111
releasesCloseToZero,processingHighVariance,3,False,False,366.0,366,0.0014,0.0006
releasesCloseToZero,processingHighVariance,28,False,False,16380.0,16380,0.0606,0.0107
releasesCloseToZero,processingHighVariance,4,False,False,511.0,511,0.0027,0.0007
releasesCloseToZero,processingHighVariance,5,False,False,989.0,989,0.0039,0.0008
releasesCloseToZero,processingHighVariance,6,False,False,1123.0,1123,0.0085,0.0009
releasesCloseToZero,processingHighVariance,7,False,False,1222.0,1222,0.0068,0.001
releasesCloseToZero,processingHighVariance,8,False,False,1690.0,1690,0.0045,0.0012
releasesCloseToZero,processingHighVariance,8,False,False,1431.0,1431,0.0274,0.0012
releasesCloseToZero,processingLowVariance,10,False,False,2701.0,2701,0.0119,0.0016
releasesCloseToZero,processingLowVariance,11,False,False,3287.0,3287,0.0446,0.0016
releasesCloseToZero,processingLowVariance,12,False,False,3864.0,3864,0.8214,0.0023
releasesCloseToZero,processingLowVariance,13,False,False,4453.0,4453,0.0302,0.0022
releasesCloseToZero,processingLowVariance,14,True,False,5145.0,5145,5.0,0.0046
releasesCloseToZero,processingLowVariance,15,False,False,5876.0,5876,3.8083,0.0031
