releaseTimes,processingTimes,jobs,gurobi interrupted,bnb interrupted,gurobiSolution,bnbSolution,gurobiTime,bnbTime
releasesCloseToZero,processingHighVariance,10,False,False,2647.0,2647,0.0142,0.0023
releasesCloseToZero,processingHighVariance,11,False,False,3046.0,3046,0.0171,0.0018
releasesCloseToZero,processingHighVariance,11,False,False,3209.0,3209,0.0188,0.0018
releasesCloseToZero,processingHighVariance,13,False,False,3396.0,3396,0.3195,0.0024
releasesCloseToZero,processingHighVariance,12,False,False,4527.0,4527,0.1402,0.0019
releasesCloseToZero,processingHighVariance,15,False,False,5152.0,5152,0.08,0.0048
releasesCloseToZero,processingHighVariance,15,True,False,4235.0,4235,0.5,0.0027
releasesCloseToZero,processingHighVariance,14,False,False,4409.0,4409,0.0282,0.0023
releasesCloseToZero,processingHighVariance,18,False,False,7697.0,7697,0.4986,0.0039
releasesCloseToZero,processingHighVariance,19,False,False,11601.0,11601,0.0951,0.0041
releasesCloseToZero,processingHighVariance,2,False,False,163.0,163,0.0007,0.0004
releasesCloseToZero,processingHighVariance,20,True,False,11359.0,11359,0.5,0.0045
releasesCloseToZero,processingHighVariance,19,False,False,9762.0,9762,0.0279,0.0044
releasesCloseToZero,processingHighVariance,22,True,False,10865.0,10865,0.5,0.0056
releasesCloseToZero,processingHighVariance,23,True,False,14936.0,14936,0.5,0.0065
releasesCloseToZero,processingHighVariance,23,False,False,13666.0,13666,0.0536,0.0069
releasesCloseToZero,processingHighVariance,25,True,False,14258.0,14258,0.5,0.0073
releasesCloseToZero,processingHighVariance,25,True,False,13367.0,13246,0.5,0.0072
releasesCloseToZero,processingHighVariance,27,False,False,16648.0,16648,0.0861,0.0096
releasesCloseToZero,processingHighVariance,28,True,False,19489.0,19403,0.5,0.0093
releasesCloseToZero,processingHighVariance,29,True,False,21379.0,21379,0.5,0.01
releasesCloseToZero,processingHighVariance,3,False,False,290.0,290,0.0015,0.0006
releasesCloseToZero,processingHighVariance,30,False,False,21516.0,21516,0.3508,0.0109
releasesCloseToZero,processingHighVariance,4,False,False,610.0,610,0.0024,0.0007
releasesCloseToZero,processingHighVariance,5,False,False,871.0,871,0.0072,0.0008
releasesCloseToZero,processingHighVariance,6,False,False,1262.0,1262,0.0091,0.0008
releasesCloseToZero,processingHighVariance,7,False,False,2032.0,2032,0.0081,0.0009
releasesCloseToZero,processingHighVariance,7,False,False,1377.0,1377,0.0125,0.001
releasesCloseToZero,processingHighVariance,9,False,False,2726.0,2726,0.1158,0.0014
releasesCloseToZero,processingLowVariance,10,True,False,2712.0,2712,0.5,0.0014
releasesCloseToZero,processingLowVariance,11,True,False,3255.0,3255,0.5,0.0016
releasesCloseToZero,processingLowVariance,12,False,False,3825.0,3825,0.0181,0.0019
releasesCloseToZero,processingLowVariance,13,False,False,4493.0,4493,0.0394,0.0023
releasesCloseToZero,processingLowVariance,14,False,False,5141.0,5141,0.2573,0.0033
releasesCloseToZero,processingLowVariance,15,False,False,5872.0,5872,0.3307,0.0027
releasesCloseToZero,processingLowVariance,16,True,False,6703.0,6697,0.5,0.003
releasesCloseToZero,processingLowVariance,17,False,False,7529.0,7529,0.4906,0.0034
releasesCloseToZero,processingLowVariance,18,False,False,8404.0,8404,0.0446,0.0039
releasesCloseToZero,processingLowVariance,19,False,False,9362.0,9362,0.1264,0.0044
releasesCloseToZero,processingLowVariance,2,False,False,156.0,156,0.0007,0.0005
releasesCloseToZero,processingLowVariance,20,False,False,10263.0,10263,0.099,0.0149
releasesCloseToZero,processingLowVariance,21,True,False,11399.0,11347,0.5,0.0052
releasesCloseToZero,processingLowVariance,22,False,False,12392.0,12366,0.4976,0.0056
releasesCloseToZero,processingLowVariance,23,False,False,13549.0,13549,0.046,0.0062
releasesCloseToZero,processingLowVariance,24,True,False,14788.0,14731,0.5,0.0066
releasesCloseToZero,processingLowVariance,25,False,False,15869.0,15869,0.0654,0.0074
releasesCloseToZero,processingLowVariance,26,True,False,17293.0,17281,0.5,0.009
releasesCloseToZero,processingLowVariance,27,True,False,18642.0,18602,0.5,0.0087
releasesCloseToZero,processingLowVariance,28,False,False,20030.0,20004,0.4943,0.0157
releasesCloseToZero,processingLowVariance,29,True,False,21500.0,21428,0.5,0.0102
releasesCloseToZero,processingLowVariance,3,False,False,301.0,301,0.0014,0.0006
releasesCloseToZero,processingLowVariance,30,False,False,inf,22782,0.4962,0.0108
releasesCloseToZero,processingLowVariance,4,False,False,492.0,492,0.0017,0.0007
releasesCloseToZero,processingLowVariance,5,False,False,751.0,751,0.0074,0.0008
releasesCloseToZero,processingLowVariance,6,False,False,1023.0,1023,0.0312,0.001
releasesCloseToZero,processingLowVariance,7,False,False,1375.0,1375,0.012,0.0011
releasesCloseToZero,processingLowVariance,8,False,False,1763.0,1763,0.0084,0.0011
releasesCloseToZero,processingLowVariance,9,False,False,2234.0,2234,0.2303,0.0019
releasesCloseToZero,processingUniform,10,False,False,1914.0,1914,0.1183,0.0015
releasesCloseToZero,processingUniform,10,False,False,2193.0,2193,0.0609,0.0014
releasesCloseToZero,processingUniform,12,False,False,2479.0,2479,0.1144,0.0018
releasesCloseToZero,processingUniform,13,False,False,3754.0,3754,0.0139,0.0021
releasesCloseToZero,processingUniform,14,False,False,4672.0,4672,0.0201,0.0025
releasesCloseToZero,processingUniform,15,False,False,3660.0,3660,0.2789,0.0046
releasesCloseToZero,processingUniform,16,False,False,4395.0,4395,0.0258,0.0031
releasesCloseToZero,processingUniform,16,True,False,4667.0,4655,0.5,0.0029
releasesCloseToZero,processingUniform,18,False,False,5018.0,5018,0.4166,0.0037
releasesCloseToZero,processingUniform,19,True,False,9431.0,9431,0.5,0.0042
releasesCloseToZero,processingUniform,2,False,False,166.0,166,0.0006,0.0005
releasesCloseToZero,processingUniform,20,True,False,5569.0,5569,0.5,0.0046
releasesCloseToZero,processingUniform,21,False,False,8547.0,8547,0.4983,0.0049
releasesCloseToZero,processingUniform,22,False,False,9415.0,9415,0.498,0.0055
releasesCloseToZero,processingUniform,23,True,False,9988.0,9988,0.5,0.0196
releasesCloseToZero,processingUniform,23,False,False,13313.0,13313,0.0731,0.0068
releasesCloseToZero,processingUniform,24,False,False,9635.0,9626,0.4957,0.0127
releasesCloseToZero,processingUniform,25,False,False,12472.0,12472,0.1491,0.028
releasesCloseToZero,processingUniform,27,False,False,13445.0,13445,0.0847,0.023
releasesCloseToZero,processingUniform,27,False,False,13284.0,13284,0.0504,0.0155
releasesCloseToZero,processingUniform,29,True,False,inf,14775,0.5,0.0095
releasesCloseToZero,processingUniform,3,False,False,134.0,134,0.0021,0.0006
releasesCloseToZero,processingUniform,30,True,False,inf,17873,0.5,0.0106
releasesCloseToZero,processingUniform,4,False,False,342.0,342,0.003,0.0007
releasesCloseToZero,processingUniform,5,False,False,562.0,562,0.0072,0.0009
releasesCloseToZero,processingUniform,6,False,False,759.0,759,0.0144,0.0011
releasesCloseToZero,processingUniform,6,False,False,746.0,746,0.0315,0.0058
releasesCloseToZero,processingUniform,8,False,False,1329.0,1329,0.0055,0.0016
releasesCloseToZero,processingUniform,9,False,False,2074.0,2074,0.0075,0.0014
releasesFarFromZero,processingHighVariance,10,False,False,3454.0,3454,0.1671,0.0038
releasesFarFromZero,processingHighVariance,11,True,False,5477.0,5477,0.5,0.0016
releasesFarFromZero,processingHighVariance,12,False,False,4781.0,4781,0.1134,0.0043
releasesFarFromZero,processingHighVariance,13,False,False,5567.0,5567,0.0347,0.0095
releasesFarFromZero,processingHighVariance,14,True,False,7619.0,7619,0.5,0.0058
releasesFarFromZero,processingHighVariance,15,True,False,7593.0,7593,0.5,0.0051
releasesFarFromZero,processingHighVariance,16,False,False,7407.0,7407,0.3689,0.0399
releasesFarFromZero,processingHighVariance,17,False,False,7091.0,7091,0.0294,0.0151
releasesFarFromZero,processingHighVariance,18,True,False,9965.0,9963,0.5,0.0256
releasesFarFromZero,processingHighVariance,19,False,False,9941.0,9941,0.2659,0.0337
releasesFarFromZero,processingHighVariance,2,False,False,498.0,498,0.0007,0.0004
releasesFarFromZero,processingHighVariance,20,False,False,9865.0,9865,0.0928,0.0365
releasesFarFromZero,processingHighVariance,20,False,False,9461.0,9461,0.4431,0.0855
releasesFarFromZero,processingHighVariance,21,False,False,11673.0,11673,0.4405,0.0701
releasesFarFromZero,processingHighVariance,23,True,False,13047.0,13047,0.5,0.0894
releasesFarFromZero,processingHighVariance,23,True,False,13717.0,13592,0.5,0.02
releasesFarFromZero,processingHighVariance,25,True,False,16581.0,16454,0.5,0.0427
releasesFarFromZero,processingHighVariance,26,True,False,15310.0,15212,0.5,0.1612
releasesFarFromZero,processingHighVariance,25,False,False,17109.0,17109,0.1406,0.0954
releasesFarFromZero,processingHighVariance,28,True,False,18608.0,18608,0.5,0.2692
releasesFarFromZero,processingHighVariance,28,True,False,19347.0,19347,0.5,0.1095
releasesFarFromZero,processingHighVariance,3,False,False,450.0,450,0.0008,0.0008
releasesFarFromZero,processingHighVariance,28,True,False,24881.0,24878,0.5,0.0488
releasesFarFromZero,processingHighVariance,4,False,False,863.0,863,0.0063,0.0007
releasesFarFromZero,processingHighVariance,5,False,False,1204.0,1204,0.0064,0.0008
releasesFarFromZero,processingHighVariance,6,False,False,1311.0,1311,0.0039,0.001
releasesFarFromZero,processingHighVariance,7,False,False,1694.0,1694,0.0055,0.002
releasesFarFromZero,processingHighVariance,8,False,True,2203.0,inf,0.1034,0.5
releasesFarFromZero,processingHighVariance,9,False,False,2493.0,2493,0.1121,0.0026
releasesFarFromZero,processingLowVariance,10,False,False,3317.0,3317,0.0089,0.0039
releasesFarFromZero,processingLowVariance,11,False,False,4001.0,4001,0.0142,0.0018
releasesFarFromZero,processingLowVariance,12,False,False,4550.0,4550,0.0221,0.0044
releasesFarFromZero,processingLowVariance,13,True,False,5169.0,5169,0.5,0.0051
releasesFarFromZero,processingLowVariance,14,False,False,5907.0,5907,0.0125,0.0075
releasesFarFromZero,processingLowVariance,15,True,False,6720.0,6720,0.5,0.0099
releasesFarFromZero,processingLowVariance,16,True,False,7507.0,7507,0.5,0.0199
releasesFarFromZero,processingLowVariance,17,False,False,8435.0,8435,0.0843,0.0259
releasesFarFromZero,processingLowVariance,18,True,False,9443.0,9416,0.5,0.0416
releasesFarFromZero,processingLowVariance,19,True,False,10409.0,10351,0.5,0.0382
releasesFarFromZero,processingLowVariance,2,False,False,320.0,320,0.0007,0.0004
releasesFarFromZero,processingLowVariance,20,True,False,11376.0,11285,0.5,0.0212
releasesFarFromZero,processingLowVariance,21,True,False,12482.0,12482,0.5,0.0317
releasesFarFromZero,processingLowVariance,22,False,False,13617.0,13617,0.3212,0.0424
releasesFarFromZero,processingLowVariance,23,True,False,14718.0,14717,0.5,0.1686
releasesFarFromZero,processingLowVariance,24,True,False,16154.0,16014,0.5,0.04
releasesFarFromZero,processingLowVariance,25,False,False,17378.0,17378,0.2621,0.0258
releasesFarFromZero,processingLowVariance,26,True,False,19071.0,18643,0.5,0.0363
releasesFarFromZero,processingLowVariance,27,False,False,19893.0,19893,0.2937,0.0469
releasesFarFromZero,processingLowVariance,28,True,False,21581.0,21418,0.5,0.0404
releasesFarFromZero,processingLowVariance,29,True,False,23241.0,22838,0.5,0.0296
releasesFarFromZero,processingLowVariance,3,False,True,484.0,inf,0.0008,0.5
releasesFarFromZero,processingLowVariance,30,True,False,24179.0,24119,0.5,0.0471
releasesFarFromZero,processingLowVariance,4,False,False,745.0,745,0.0018,0.0008
releasesFarFromZero,processingLowVariance,5,False,False,1054.0,1054,0.0109,0.001
releasesFarFromZero,processingLowVariance,6,False,False,1386.0,1386,0.021,0.0011
releasesFarFromZero,processingLowVariance,7,False,False,1738.0,1738,0.0055,0.0021
releasesFarFromZero,processingLowVariance,8,False,False,2311.0,2311,0.0054,0.0016
releasesFarFromZero,processingLowVariance,9,False,False,2758.0,2758,0.0066,0.0032
releasesFarFromZero,processingUniform,10,False,False,2037.0,2037,0.0654,0.0087
releasesFarFromZero,processingUniform,11,False,False,2617.0,2617,0.1549,0.0069
releasesFarFromZero,processingUniform,12,False,False,2408.0,2408,0.3541,0.0167
releasesFarFromZero,processingUniform,13,False,False,3851.0,3851,0.1041,0.0165
releasesFarFromZero,processingUniform,14,False,False,3070.0,3070,0.2514,0.0477
releasesFarFromZero,processingUniform,15,False,False,4267.0,4267,0.2767,0.0914
releasesFarFromZero,processingUniform,15,True,False,6225.0,6225,0.5,0.007
releasesFarFromZero,processingUniform,17,True,False,5702.0,5671,0.5,0.0217
releasesFarFromZero,processingUniform,18,True,False,7822.0,7822,0.5,0.0825
releasesFarFromZero,processingUniform,19,True,False,10085.0,9957,0.5,0.0275
releasesFarFromZero,processingUniform,2,False,True,235.0,inf,0.0007,0.5
releasesFarFromZero,processingUniform,20,True,True,6186.0,inf,0.5,0.5
releasesFarFromZero,processingUniform,21,True,False,9196.0,9196,0.5,0.077
releasesFarFromZero,processingUniform,22,True,False,10944.0,10944,0.5,0.0505
releasesFarFromZero,processingUniform,23,True,False,10042.0,9996,0.5,0.1942
releasesFarFromZero,processingUniform,24,False,False,10623.0,10623,0.305,0.4201
releasesFarFromZero,processingUniform,24,False,True,9450.0,9481,0.4925,0.5
releasesFarFromZero,processingUniform,26,True,False,16169.0,15956,0.5,0.027
releasesFarFromZero,processingUniform,27,False,False,14927.0,14686,0.4871,0.0828
releasesFarFromZero,processingUniform,28,True,False,15645.0,15536,0.5,0.5178
releasesFarFromZero,processingUniform,29,True,True,18340.0,inf,0.5,0.5
releasesFarFromZero,processingUniform,3,False,False,786.0,786,0.0008,0.0006
releasesFarFromZero,processingUniform,30,True,True,16907.0,16900,0.5,0.5
releasesFarFromZero,processingUniform,4,False,False,741.0,741,0.0018,0.0009
releasesFarFromZero,processingUniform,5,False,True,872.0,inf,0.0016,0.5
releasesFarFromZero,processingUniform,6,False,False,1990.0,1990,0.0065,0.0011
releasesFarFromZero,processingUniform,7,False,False,1445.0,1445,0.0237,0.0021
releasesFarFromZero,processingUniform,8,False,False,2169.0,2169,0.067,0.0028
releasesFarFromZero,processingUniform,8,False,False,1342.0,1342,0.0715,0.0038
